trip_distance,fare_amount,tip_amount,total_amount,passenger_count,payment_type,pickup_datetime,dropoff_datetime
18.75,54.5,11.06,66.36,1,1,2018-01-03 13:45:22.000000 UTC,2018-01-03 14:36:37.000000 UTC
19.69,54.5,11.06,66.36,5,1,2018-01-14 12:03:00.000000 UTC,2018-01-14 12:39:01.000000 UTC
19.24,54.5,11.06,66.36,1,1,2018-01-15 13:33:20.000000 UTC,2018-01-15 14:22:01.000000 UTC
18.2,54.5,11.06,66.36,2,1,2018-01-01 07:56:09.000000 UTC,2018-01-01 08:43:48.000000 UTC
18.48,54.5,11.06,66.36,2,1,2018-01-09 15:21:52.000000 UTC,2018-01-09 16:13:02.000000 UTC
19.2,54.5,11.06,66.36,1,1,2018-01-07 18:01:46.000000 UTC,2018-01-07 18:48:16.000000 UTC
20.27,54.5,15,70.8,1,1,2018-01-02 04:27:23.000000 UTC,2018-01-02 04:55:44.000000 UTC
13.41,54.5,16.82,84.12,1,1,2018-01-12 06:02:58.000000 UTC,2018-01-12 06:24:56.000000 UTC
18.6,54.5,8,63.3,1,1,2018-01-27 13:37:45.000000 UTC,2018-01-27 14:24:47.000000 UTC
20.26,54.5,5,60.8,1,1,2018-01-08 01:16:01.000000 UTC,2018-01-08 01:46:58.000000 UTC
20.4,54.5,5,67.06,1,1,2018-01-02 18:44:32.000000 UTC,2018-01-02 19:20:03.000000 UTC
17.14,54.5,2,58.3,5,1,2018-01-19 18:03:10.000000 UTC,2018-01-19 19:00:38.000000 UTC
17.32,54.5,0,55.8,3,2,2018-01-27 21:41:21.000000 UTC,2018-01-27 22:36:12.000000 UTC
19.5,54.5,0,55.8,6,1,2018-01-24 01:05:02.000000 UTC,2018-01-24 01:40:59.000000 UTC
17.19,54.5,0,55.8,1,2,2018-01-20 03:08:48.000000 UTC,2018-01-20 04:02:48.000000 UTC
20.25,54.5,0,55.8,3,2,2018-01-10 04:41:24.000000 UTC,2018-01-10 05:15:06.000000 UTC
14.26,54.5,0,55.8,1,2,2018-01-19 04:25:33.000000 UTC,2018-01-19 05:38:14.000000 UTC
20.46,54.5,0,55.8,1,1,2018-01-04 00:00:55.000000 UTC,2018-01-04 00:38:30.000000 UTC
16.1,54.5,0,55.8,3,1,2018-01-21 02:21:30.000000 UTC,2018-01-21 03:22:52.000000 UTC
13.1,54.5,0,72.3,1,1,2018-01-21 11:09:00.000000 UTC,2018-01-21 11:33:06.000000 UTC
19.38,54.5,13.82,69.12,5,1,2018-01-27 18:13:56.000000 UTC,2018-01-27 19:01:49.000000 UTC
13.5,54.5,0,67.3,1,2,2018-01-28 13:57:44.000000 UTC,2018-01-28 14:24:56.000000 UTC
18.8,54.5,11.16,66.96,2,1,2018-01-23 23:53:12.000000 UTC,2018-01-24 00:37:07.000000 UTC
20.48,54.5,11.16,66.96,1,1,2018-01-24 23:54:49.000000 UTC,2018-01-25 00:23:11.000000 UTC
